COUNTYNAME,COUNTYID,COUNTYCODE,WIKIDATA,MS_FB_PARE,MS_FB,name_zh
新北市,F,65000,Q17025376,country:tw/special-municipality:nwt,country:tw/special-municipality:nwt/constituency:新北市第二選舉區,新北市第二選舉區
桃園市,H,68000,Q11112204,country:tw/special-municipality:tao,country:tw/special-municipality:tao/constituency:桃園市第六選舉區,桃園市第六選舉區
桃園市,H,68000,Q11112198,country:tw/special-municipality:tao,country:tw/special-municipality:tao/constituency:桃園市第二選舉區,桃園市第二選舉區
桃園市,H,68000,Q11112209,country:tw/special-municipality:tao,country:tw/special-municipality:tao/constituency:桃園市第四選舉區,桃園市第四選舉區
桃園市,H,68000,Q11112202,country:tw/special-municipality:tao,country:tw/special-municipality:tao/constituency:桃園市第五選舉區,桃園市第五選舉區
桃園市,H,68000,Q11112195,country:tw/special-municipality:tao,country:tw/special-municipality:tao/constituency:桃園市第一選舉區,桃園市第一選舉區
桃園市,H,68000,Q11112196,country:tw/special-municipality:tao,country:tw/special-municipality:tao/constituency:桃園市第三選舉區,桃園市第三選舉區
新竹縣,J,10004,Q11084066,country:tw/county:hsq,country:tw/county:hsq/constituency:新竹縣選舉區,新竹縣選舉區
花蓮縣,J,10004,missing,country:tw/county:hua,country:tw/county:hua/constituency:,
雲林縣,P,10009,Q19432866,country:tw/county:yun,country:tw/county:yun/constituency:雲林縣第一選舉區,雲林縣第一選舉區
雲林縣,P,10009,Q17035924,country:tw/county:yun,country:tw/county:yun/constituency:雲林縣第二選舉區,雲林縣第二選舉區
花蓮縣,P,10009,missing,country:tw/county:hua,country:tw/county:hua/constituency:,
屏東縣,T,10013,Q17024900,country:tw/county:pif,country:tw/county:pif/constituency:屏東縣第三選舉區,屏東縣第三選舉區
花蓮縣,T,10013,missing,country:tw/county:hua,country:tw/county:hua/constituency:,
屏東縣,T,10013,Q11042758,country:tw/county:pif,country:tw/county:pif/constituency:屏東縣第一選舉區,屏東縣第一選舉區
屏東縣,T,10013,Q17024901,country:tw/county:pif,country:tw/county:pif/constituency:屏東縣第二選舉區,屏東縣第二選舉區
臺東縣,V,10014,Q17028006,country:tw/county:ttt,country:tw/county:ttt/constituency:臺東縣選舉區,臺東縣選舉區
新竹市,O,10018,Q11084018,country:tw/city:hsz,country:tw/city:hsz/constituency:新竹市選舉區,新竹市選舉區
花蓮縣,O,10018,missing,country:tw/county:hua,country:tw/county:hua/constituency:,
高雄市,E,64000,Q16929478,country:tw/special-municipality:khh,country:tw/special-municipality:khh/constituency:高雄市第五選舉區,高雄市第五選舉區
花蓮縣,E,64000,missing,country:tw/county:hua,country:tw/county:hua/constituency:,
高雄市,E,64000,Q16929475,country:tw/special-municipality:khh,country:tw/special-municipality:khh/constituency:高雄市第三選舉區,高雄市第三選舉區
高雄市,E,64000,Q16929474,country:tw/special-municipality:khh,country:tw/special-municipality:khh/constituency:高雄市第七選舉區,高雄市第七選舉區
